,id,company,last_name,first_name,email_address,job_title,business_phone,home_phone,mobile_phone,fax_number,address,city,state_province,zip_postal_code,country_region,web_page,notes,attachments,supplier_ids,id,product_code,product_name,description,standard_cost,list_price,reorder_level,target_level,quantity_per_unit,discontinued,minimum_reorder_quantity,category,attachments
10,2,Northwind Traders,Cencini,Andrew,andrew@northwindtraders.com,"Vice President, Sales",(123)555-0100,(123)555-0102,,(123)555-0103,123 2nd Avenue,Bellevue,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,"Joined the company as a sales representative, was promoted to sales manager and was then named vice president of sales.",b'',10,3,NWTCO-3,Northwind Traders Syrup,,7.5000,10.0000,25,100,12 - 550 ml bottles,0,25.0,Condiments,b''
11,3,Northwind Traders,Kotas,Jan,jan@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 3rd Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Was hired as a sales associate and was promoted to sales representative.,b'',10,3,NWTCO-3,Northwind Traders Syrup,,7.5000,10.0000,25,100,12 - 550 ml bottles,0,25.0,Condiments,b''
12,4,Northwind Traders,Sergienko,Mariya,mariya@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 4th Avenue,Kirkland,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,,b'',10,3,NWTCO-3,Northwind Traders Syrup,,7.5000,10.0000,25,100,12 - 550 ml bottles,0,25.0,Condiments,b''
13,5,Northwind Traders,Thorpe,Steven,steven@northwindtraders.com,Sales Manager,(123)555-0100,(123)555-0102,,(123)555-0103,123 5th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Joined the company as a sales representative and was promoted to sales manager.  Fluent in French.,b'',10,3,NWTCO-3,Northwind Traders Syrup,,7.5000,10.0000,25,100,12 - 550 ml bottles,0,25.0,Condiments,b''
14,6,Northwind Traders,Neipper,Michael,michael@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 6th Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,"Fluent in Japanese and can read and write French, Portuguese, and Spanish.",b'',10,3,NWTCO-3,Northwind Traders Syrup,,7.5000,10.0000,25,100,12 - 550 ml bottles,0,25.0,Condiments,b''
15,7,Northwind Traders,Zare,Robert,robert@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 7th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,,b'',10,3,NWTCO-3,Northwind Traders Syrup,,7.5000,10.0000,25,100,12 - 550 ml bottles,0,25.0,Condiments,b''
16,8,Northwind Traders,Giussani,Laura,laura@northwindtraders.com,Sales Coordinator,(123)555-0100,(123)555-0102,,(123)555-0103,123 8th Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Reads and writes French.,b'',10,3,NWTCO-3,Northwind Traders Syrup,,7.5000,10.0000,25,100,12 - 550 ml bottles,0,25.0,Condiments,b''
17,9,Northwind Traders,Hellung-Larsen,Anne,anne@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 9th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Fluent in French and German.,b'',10,3,NWTCO-3,Northwind Traders Syrup,,7.5000,10.0000,25,100,12 - 550 ml bottles,0,25.0,Condiments,b''
18,1,Northwind Traders,Freehafer,Nancy,nancy@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 1st Avenue,Seattle,WA,99999,USA,#http://northwindtraders.com#,,b'',10,4,NWTCO-4,Northwind Traders Cajun Seasoning,,16.5000,22.0000,10,40,48 - 6 oz jars,0,10.0,Condiments,b''
19,2,Northwind Traders,Cencini,Andrew,andrew@northwindtraders.com,"Vice President, Sales",(123)555-0100,(123)555-0102,,(123)555-0103,123 2nd Avenue,Bellevue,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,"Joined the company as a sales representative, was promoted to sales manager and was then named vice president of sales.",b'',10,4,NWTCO-4,Northwind Traders Cajun Seasoning,,16.5000,22.0000,10,40,48 - 6 oz jars,0,10.0,Condiments,b''
20,3,Northwind Traders,Kotas,Jan,jan@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 3rd Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Was hired as a sales associate and was promoted to sales representative.,b'',10,4,NWTCO-4,Northwind Traders Cajun Seasoning,,16.5000,22.0000,10,40,48 - 6 oz jars,0,10.0,Condiments,b''
21,4,Northwind Traders,Sergienko,Mariya,mariya@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 4th Avenue,Kirkland,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,,b'',10,4,NWTCO-4,Northwind Traders Cajun Seasoning,,16.5000,22.0000,10,40,48 - 6 oz jars,0,10.0,Condiments,b''
22,5,Northwind Traders,Thorpe,Steven,steven@northwindtraders.com,Sales Manager,(123)555-0100,(123)555-0102,,(123)555-0103,123 5th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Joined the company as a sales representative and was promoted to sales manager.  Fluent in French.,b'',10,4,NWTCO-4,Northwind Traders Cajun Seasoning,,16.5000,22.0000,10,40,48 - 6 oz jars,0,10.0,Condiments,b''
23,6,Northwind Traders,Neipper,Michael,michael@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 6th Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,"Fluent in Japanese and can read and write French, Portuguese, and Spanish.",b'',10,4,NWTCO-4,Northwind Traders Cajun Seasoning,,16.5000,22.0000,10,40,48 - 6 oz jars,0,10.0,Condiments,b''
24,7,Northwind Traders,Zare,Robert,robert@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 7th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,,b'',10,4,NWTCO-4,Northwind Traders Cajun Seasoning,,16.5000,22.0000,10,40,48 - 6 oz jars,0,10.0,Condiments,b''
25,8,Northwind Traders,Giussani,Laura,laura@northwindtraders.com,Sales Coordinator,(123)555-0100,(123)555-0102,,(123)555-0103,123 8th Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Reads and writes French.,b'',10,4,NWTCO-4,Northwind Traders Cajun Seasoning,,16.5000,22.0000,10,40,48 - 6 oz jars,0,10.0,Condiments,b''
26,9,Northwind Traders,Hellung-Larsen,Anne,anne@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 9th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Fluent in French and German.,b'',10,4,NWTCO-4,Northwind Traders Cajun Seasoning,,16.5000,22.0000,10,40,48 - 6 oz jars,0,10.0,Condiments,b''
27,1,Northwind Traders,Freehafer,Nancy,nancy@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 1st Avenue,Seattle,WA,99999,USA,#http://northwindtraders.com#,,b'',10,5,NWTO-5,Northwind Traders Olive Oil,,16.0125,21.3500,10,40,36 boxes,0,10.0,Oil,b''
28,2,Northwind Traders,Cencini,Andrew,andrew@northwindtraders.com,"Vice President, Sales",(123)555-0100,(123)555-0102,,(123)555-0103,123 2nd Avenue,Bellevue,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,"Joined the company as a sales representative, was promoted to sales manager and was then named vice president of sales.",b'',10,5,NWTO-5,Northwind Traders Olive Oil,,16.0125,21.3500,10,40,36 boxes,0,10.0,Oil,b''
29,3,Northwind Traders,Kotas,Jan,jan@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 3rd Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Was hired as a sales associate and was promoted to sales representative.,b'',10,5,NWTO-5,Northwind Traders Olive Oil,,16.0125,21.3500,10,40,36 boxes,0,10.0,Oil,b''
30,4,Northwind Traders,Sergienko,Mariya,mariya@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 4th Avenue,Kirkland,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,,b'',10,5,NWTO-5,Northwind Traders Olive Oil,,16.0125,21.3500,10,40,36 boxes,0,10.0,Oil,b''
31,5,Northwind Traders,Thorpe,Steven,steven@northwindtraders.com,Sales Manager,(123)555-0100,(123)555-0102,,(123)555-0103,123 5th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Joined the company as a sales representative and was promoted to sales manager.  Fluent in French.,b'',10,5,NWTO-5,Northwind Traders Olive Oil,,16.0125,21.3500,10,40,36 boxes,0,10.0,Oil,b''
32,6,Northwind Traders,Neipper,Michael,michael@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 6th Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,"Fluent in Japanese and can read and write French, Portuguese, and Spanish.",b'',10,5,NWTO-5,Northwind Traders Olive Oil,,16.0125,21.3500,10,40,36 boxes,0,10.0,Oil,b''
33,7,Northwind Traders,Zare,Robert,robert@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 7th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,,b'',10,5,NWTO-5,Northwind Traders Olive Oil,,16.0125,21.3500,10,40,36 boxes,0,10.0,Oil,b''
34,8,Northwind Traders,Giussani,Laura,laura@northwindtraders.com,Sales Coordinator,(123)555-0100,(123)555-0102,,(123)555-0103,123 8th Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Reads and writes French.,b'',10,5,NWTO-5,Northwind Traders Olive Oil,,16.0125,21.3500,10,40,36 boxes,0,10.0,Oil,b''
35,9,Northwind Traders,Hellung-Larsen,Anne,anne@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 9th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Fluent in French and German.,b'',10,5,NWTO-5,Northwind Traders Olive Oil,,16.0125,21.3500,10,40,36 boxes,0,10.0,Oil,b''
36,1,Northwind Traders,Freehafer,Nancy,nancy@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 1st Avenue,Seattle,WA,99999,USA,#http://northwindtraders.com#,,b'',2;6,6,NWTJP-6,Northwind Traders Boysenberry Spread,,18.7500,25.0000,25,100,12 - 8 oz jars,0,25.0,"Jams, Preserves",b''
37,2,Northwind Traders,Cencini,Andrew,andrew@northwindtraders.com,"Vice President, Sales",(123)555-0100,(123)555-0102,,(123)555-0103,123 2nd Avenue,Bellevue,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,"Joined the company as a sales representative, was promoted to sales manager and was then named vice president of sales.",b'',2;6,6,NWTJP-6,Northwind Traders Boysenberry Spread,,18.7500,25.0000,25,100,12 - 8 oz jars,0,25.0,"Jams, Preserves",b''
38,3,Northwind Traders,Kotas,Jan,jan@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 3rd Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Was hired as a sales associate and was promoted to sales representative.,b'',2;6,6,NWTJP-6,Northwind Traders Boysenberry Spread,,18.7500,25.0000,25,100,12 - 8 oz jars,0,25.0,"Jams, Preserves",b''
39,4,Northwind Traders,Sergienko,Mariya,mariya@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 4th Avenue,Kirkland,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,,b'',2;6,6,NWTJP-6,Northwind Traders Boysenberry Spread,,18.7500,25.0000,25,100,12 - 8 oz jars,0,25.0,"Jams, Preserves",b''
40,5,Northwind Traders,Thorpe,Steven,steven@northwindtraders.com,Sales Manager,(123)555-0100,(123)555-0102,,(123)555-0103,123 5th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Joined the company as a sales representative and was promoted to sales manager.  Fluent in French.,b'',2;6,6,NWTJP-6,Northwind Traders Boysenberry Spread,,18.7500,25.0000,25,100,12 - 8 oz jars,0,25.0,"Jams, Preserves",b''
41,6,Northwind Traders,Neipper,Michael,michael@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 6th Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,"Fluent in Japanese and can read and write French, Portuguese, and Spanish.",b'',2;6,6,NWTJP-6,Northwind Traders Boysenberry Spread,,18.7500,25.0000,25,100,12 - 8 oz jars,0,25.0,"Jams, Preserves",b''
42,7,Northwind Traders,Zare,Robert,robert@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 7th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,,b'',2;6,6,NWTJP-6,Northwind Traders Boysenberry Spread,,18.7500,25.0000,25,100,12 - 8 oz jars,0,25.0,"Jams, Preserves",b''
43,8,Northwind Traders,Giussani,Laura,laura@northwindtraders.com,Sales Coordinator,(123)555-0100,(123)555-0102,,(123)555-0103,123 8th Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Reads and writes French.,b'',2;6,6,NWTJP-6,Northwind Traders Boysenberry Spread,,18.7500,25.0000,25,100,12 - 8 oz jars,0,25.0,"Jams, Preserves",b''
44,9,Northwind Traders,Hellung-Larsen,Anne,anne@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 9th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Fluent in French and German.,b'',2;6,6,NWTJP-6,Northwind Traders Boysenberry Spread,,18.7500,25.0000,25,100,12 - 8 oz jars,0,25.0,"Jams, Preserves",b''
45,1,Northwind Traders,Freehafer,Nancy,nancy@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 1st Avenue,Seattle,WA,99999,USA,#http://northwindtraders.com#,,b'',2,7,NWTDFN-7,Northwind Traders Dried Pears,,22.5000,30.0000,10,40,12 - 1 lb pkgs.,0,10.0,Dried Fruit & Nuts,b''
46,2,Northwind Traders,Cencini,Andrew,andrew@northwindtraders.com,"Vice President, Sales",(123)555-0100,(123)555-0102,,(123)555-0103,123 2nd Avenue,Bellevue,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,"Joined the company as a sales representative, was promoted to sales manager and was then named vice president of sales.",b'',2,7,NWTDFN-7,Northwind Traders Dried Pears,,22.5000,30.0000,10,40,12 - 1 lb pkgs.,0,10.0,Dried Fruit & Nuts,b''
47,3,Northwind Traders,Kotas,Jan,jan@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 3rd Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Was hired as a sales associate and was promoted to sales representative.,b'',2,7,NWTDFN-7,Northwind Traders Dried Pears,,22.5000,30.0000,10,40,12 - 1 lb pkgs.,0,10.0,Dried Fruit & Nuts,b''
48,4,Northwind Traders,Sergienko,Mariya,mariya@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 4th Avenue,Kirkland,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,,b'',2,7,NWTDFN-7,Northwind Traders Dried Pears,,22.5000,30.0000,10,40,12 - 1 lb pkgs.,0,10.0,Dried Fruit & Nuts,b''
49,5,Northwind Traders,Thorpe,Steven,steven@northwindtraders.com,Sales Manager,(123)555-0100,(123)555-0102,,(123)555-0103,123 5th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Joined the company as a sales representative and was promoted to sales manager.  Fluent in French.,b'',2,7,NWTDFN-7,Northwind Traders Dried Pears,,22.5000,30.0000,10,40,12 - 1 lb pkgs.,0,10.0,Dried Fruit & Nuts,b''
50,6,Northwind Traders,Neipper,Michael,michael@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 6th Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,"Fluent in Japanese and can read and write French, Portuguese, and Spanish.",b'',2,7,NWTDFN-7,Northwind Traders Dried Pears,,22.5000,30.0000,10,40,12 - 1 lb pkgs.,0,10.0,Dried Fruit & Nuts,b''
51,7,Northwind Traders,Zare,Robert,robert@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 7th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,,b'',2,7,NWTDFN-7,Northwind Traders Dried Pears,,22.5000,30.0000,10,40,12 - 1 lb pkgs.,0,10.0,Dried Fruit & Nuts,b''
52,8,Northwind Traders,Giussani,Laura,laura@northwindtraders.com,Sales Coordinator,(123)555-0100,(123)555-0102,,(123)555-0103,123 8th Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Reads and writes French.,b'',2,7,NWTDFN-7,Northwind Traders Dried Pears,,22.5000,30.0000,10,40,12 - 1 lb pkgs.,0,10.0,Dried Fruit & Nuts,b''
53,9,Northwind Traders,Hellung-Larsen,Anne,anne@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 9th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Fluent in French and German.,b'',2,7,NWTDFN-7,Northwind Traders Dried Pears,,22.5000,30.0000,10,40,12 - 1 lb pkgs.,0,10.0,Dried Fruit & Nuts,b''
54,1,Northwind Traders,Freehafer,Nancy,nancy@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 1st Avenue,Seattle,WA,99999,USA,#http://northwindtraders.com#,,b'',8,8,NWTS-8,Northwind Traders Curry Sauce,,30.0000,40.0000,10,40,12 - 12 oz jars,0,10.0,Sauces,b''
55,2,Northwind Traders,Cencini,Andrew,andrew@northwindtraders.com,"Vice President, Sales",(123)555-0100,(123)555-0102,,(123)555-0103,123 2nd Avenue,Bellevue,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,"Joined the company as a sales representative, was promoted to sales manager and was then named vice president of sales.",b'',8,8,NWTS-8,Northwind Traders Curry Sauce,,30.0000,40.0000,10,40,12 - 12 oz jars,0,10.0,Sauces,b''
56,3,Northwind Traders,Kotas,Jan,jan@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 3rd Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Was hired as a sales associate and was promoted to sales representative.,b'',8,8,NWTS-8,Northwind Traders Curry Sauce,,30.0000,40.0000,10,40,12 - 12 oz jars,0,10.0,Sauces,b''
57,4,Northwind Traders,Sergienko,Mariya,mariya@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 4th Avenue,Kirkland,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,,b'',8,8,NWTS-8,Northwind Traders Curry Sauce,,30.0000,40.0000,10,40,12 - 12 oz jars,0,10.0,Sauces,b''
58,5,Northwind Traders,Thorpe,Steven,steven@northwindtraders.com,Sales Manager,(123)555-0100,(123)555-0102,,(123)555-0103,123 5th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Joined the company as a sales representative and was promoted to sales manager.  Fluent in French.,b'',8,8,NWTS-8,Northwind Traders Curry Sauce,,30.0000,40.0000,10,40,12 - 12 oz jars,0,10.0,Sauces,b''
59,6,Northwind Traders,Neipper,Michael,michael@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 6th Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,"Fluent in Japanese and can read and write French, Portuguese, and Spanish.",b'',8,8,NWTS-8,Northwind Traders Curry Sauce,,30.0000,40.0000,10,40,12 - 12 oz jars,0,10.0,Sauces,b''
60,7,Northwind Traders,Zare,Robert,robert@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 7th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,,b'',8,8,NWTS-8,Northwind Traders Curry Sauce,,30.0000,40.0000,10,40,12 - 12 oz jars,0,10.0,Sauces,b''
61,8,Northwind Traders,Giussani,Laura,laura@northwindtraders.com,Sales Coordinator,(123)555-0100,(123)555-0102,,(123)555-0103,123 8th Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Reads and writes French.,b'',8,8,NWTS-8,Northwind Traders Curry Sauce,,30.0000,40.0000,10,40,12 - 12 oz jars,0,10.0,Sauces,b''
62,9,Northwind Traders,Hellung-Larsen,Anne,anne@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 9th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Fluent in French and German.,b'',8,8,NWTS-8,Northwind Traders Curry Sauce,,30.0000,40.0000,10,40,12 - 12 oz jars,0,10.0,Sauces,b''
63,1,Northwind Traders,Freehafer,Nancy,nancy@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 1st Avenue,Seattle,WA,99999,USA,#http://northwindtraders.com#,,b'',2;6,14,NWTDFN-14,Northwind Traders Walnuts,,17.4375,23.2500,10,40,40 - 100 g pkgs.,0,10.0,Dried Fruit & Nuts,b''
64,2,Northwind Traders,Cencini,Andrew,andrew@northwindtraders.com,"Vice President, Sales",(123)555-0100,(123)555-0102,,(123)555-0103,123 2nd Avenue,Bellevue,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,"Joined the company as a sales representative, was promoted to sales manager and was then named vice president of sales.",b'',2;6,14,NWTDFN-14,Northwind Traders Walnuts,,17.4375,23.2500,10,40,40 - 100 g pkgs.,0,10.0,Dried Fruit & Nuts,b''
65,3,Northwind Traders,Kotas,Jan,jan@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 3rd Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Was hired as a sales associate and was promoted to sales representative.,b'',2;6,14,NWTDFN-14,Northwind Traders Walnuts,,17.4375,23.2500,10,40,40 - 100 g pkgs.,0,10.0,Dried Fruit & Nuts,b''
66,4,Northwind Traders,Sergienko,Mariya,mariya@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 4th Avenue,Kirkland,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,,b'',2;6,14,NWTDFN-14,Northwind Traders Walnuts,,17.4375,23.2500,10,40,40 - 100 g pkgs.,0,10.0,Dried Fruit & Nuts,b''
67,5,Northwind Traders,Thorpe,Steven,steven@northwindtraders.com,Sales Manager,(123)555-0100,(123)555-0102,,(123)555-0103,123 5th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Joined the company as a sales representative and was promoted to sales manager.  Fluent in French.,b'',2;6,14,NWTDFN-14,Northwind Traders Walnuts,,17.4375,23.2500,10,40,40 - 100 g pkgs.,0,10.0,Dried Fruit & Nuts,b''
